Fault_type,Va,Vb,Vc,Ia,Ib,Ic
2,11.785227472588033,337.90287108283127,-231.70759591432864,580.524507151637,-230.7892890193438,-397.61175552534854
1,361.9742556068395,-259.30140693490995,25.36498774547661,93.07476471003392,-10.908854867086497,-4.715297334934213
0,-217.46400573269136,-218.28681805217744,557.7842279291199,-289.65903523728065,1.4821753638699953,32.76240040285695
1,-361.37130648954127,-188.17341754914042,536.7079572302629,-435.3540415987615,514.8755045508991,40.24862419950135
1,288.982413387431,394.44417216846347,-502.80058031945146,493.2771624703392,-461.7246567215712,30.973957598203278
1,-266.8927293053402,-296.87111478003544,559.0564754357287,-437.5881930268935,525.280237653975,29.59383500118227
2,98.21806383196665,294.77415606062806,-261.75533140927695,574.4031780414443,-333.37998983007947,-253.04462775813352
1,-268.76836843994266,360.8277878085294,-29.19744453624064,23.17739959750776,13.147518836916273,61.5306929788013
2,322.8299343281593,96.02640483569463,-262.1244356018741,396.0980518199843,-541.7068404001379,273.3919069265181
1,-362.480637294545,6.6342363414055825,449.7529796734325,-289.9988446760235,541.939417916886,50.70281045529834
2,287.6711511857002,139.3438138377657,-273.0126596250278,448.1803453221059,-520.9195904416553,172.72276663495865
1,-203.35841758954547,-340.6096132438868,547.7605697117955,-415.2484078744985,506.06800399998417,23.695601108039952
0,102.32090744258026,-507.41157108121786,459.044634246591,-333.2220766855683,13.164478090278408,10.118374743381334
0,-435.24125839696296,274.9470316470279,341.4368875374971,-36.17282027298718,2.9054493975307807,56.486861069857625
1,-77.673962608468,-389.23580373881913,491.4327958149239,-347.0140517683497,440.89274728615135,14.287201666575173
2,129.5912635629256,275.2348263283033,-269.1787575793423,564.1942675805167,-342.4805912879297,-226.65053377582763
3,-278.2018836145196,629.403137252585,-262.5301179054112,13.223733032915604,28.21917702254655,55.52651286119921
1,390.6967887986886,-225.63607244369118,-27.658884162607386,141.72224484993535,-62.32932459932398,-4.856578409806836
2,-254.69785136145418,360.0208342621251,-39.66621372545032,395.93512295811655,211.29986215481753,-724.4125689156314
2,-347.9282890645944,145.5693969283437,226.75469687823315,-81.78636130731523,577.3045123900396,-538.8461771776928
1,360.88345123091193,-261.8689600154982,51.8564011125502,-80.57109498965154,-151.22408788957296,-5.2361481128777285
0,-256.58655326149386,628.6958234204217,-206.09727828008283,327.13082897757465,25.42911534174085,58.143333769879106
1,-392.1131165364239,190.71711450039663,221.40711243711425,-194.82098438639562,244.95923057485447,60.32454933119692
0,2.8669313999247414,-444.55206488776804,514.3923629835165,-339.5991534583797,8.750641247704372,16.641621460854648
1,386.9885050568968,-230.9113759086918,-13.319511182261373,-22.533433331593713,-209.2237625360361,-5.579545421035206
0,359.35628116372385,162.60021029340055,-482.81836055292354,310.82699742296404,50.87699356905793,16.82143855708912
2,-355.20399408088474,211.09715551450068,173.78159818894244,36.81501599852585,539.1056511061453,-654.7206977985159
3,503.2977422509172,-540.1493599154916,164.83999806133923,52.96184005401365,30.358583783241645,-3.0969518510234124
1,-368.6903185182866,26.016314114272607,432.7016343061875,-271.18773509813514,525.7846366020383,51.98181682037563
2,255.76440952148758,173.41271230511757,-278.1934915034727,484.0147355521102,-497.5146623155864,91.39441822682673
1,-280.2052831120063,349.6401447110861,-42.97323741894702,188.22990064856788,162.75756407197335,61.936402711901266
0,-388.8292438918741,97.68419520752535,458.4529495755857,-146.0667336394407,-0.03627489666403605,49.10370545154177
1,449.09733794811467,-125.21939456684217,-164.13395905838297,256.3118642586976,-184.84913010853475,-3.335420811861624
1,-207.24545984682413,-213.60768976464954,559.4812316820829,-445.1567656158869,516.9868574726352,31.198090152615737
2,-280.1015722214177,348.39643939836776,-9.044894714116118,351.9047474434797,266.38202342064073,-735.6045611109124
1,131.21975597708183,-388.50417312255985,324.6883393158194,-179.59924426898408,272.7104125654047,2.169689429597579
2,-133.43543010069035,374.70801192921186,-149.24882369036047,524.8464142761477,-11.132499490671442,-610.5784435458879
1,333.6865442371611,360.3643907753291,-507.78564476957627,497.681304966226,-463.20413271730393,26.752084143555813
2,312.4545261470675,-290.4849183696259,92.70416868184907,-326.0476925402057,-158.95892584318636,779.911405171791
1,430.42434819170103,-148.16977257397156,-152.6390926539227,109.69102913731273,-319.86060243354893,-4.0960112100552095
2,-226.5738183205824,-71.22234922932516,324.66285644323546,-379.56065398535566,575.501317796343,-118.4141040138922
1,-422.47486980586825,32.2862484115095,387.6089863455376,-329.15576435096494,391.5531176092599,54.61470643107123
1,269.9129179675713,280.61774742399007,-507.84361784734574,514.5657823958395,-467.2809601840964,25.588532117639854
2,363.6497640304897,31.43939634540223,-236.66501639603092,313.63923024713966,-546.8963939769387,396.03318108133544
0,-370.414115901185,47.727702348308114,482.2428880180114,-172.60143121015574,-0.06226193027175242,47.18428558937342
2,375.0772002370365,-247.00560807688663,3.927095921598603,-194.08633922186397,-308.68527962347366,793.0992195675503
3,694.5617383906691,-328.80729741744426,-176.73689165051604,39.77331672384077,44.3774865181179,-3.1623449265230335
